"Weight","TailLength","Heart","LKidney","RKidney","Spleen","Liver","FatPad"
30.88,94.75,0.15,0.28,0.32,0.11,1.63,0.73
26.32,97.03,0.12,0.2,NA,0.1,1.5,NA
24.11,87.71,0.16,0.17,0.19,0.07,1.64,0.29
32.28,95.06,0.14,NA,0.33,0.13,1.38,0.7
23.05,87.9,0.11,NA,0.2,0.11,1.48,NA
25.89,99.06,0.13,0.17,0.19,0.12,1.73,0.37
29.04,94.31,0.2,0.25,0.28,0.12,2.42,0.18
25.99,91.07,0.17,0.2,0.21,0.08,1.73,0.65
NA,89.93,0.13,NA,0.18,0.1,1.51,0.55
28.27,94.87,0.13,0.21,0.2,NA,1.82,0.93
38.11,94.86,0.22,0.44,0.45,0.33,2.53,0.3
35.75,96.71,0.15,0.4,0.41,0.1,NA,0.95
36.66,90.41,0.22,NA,0.38,0.16,3.33,0.12
28.72,92.36,0.14,NA,NA,0.1,1.8,1.22
20.12,83.78,0.13,0.24,0.21,0.11,1.49,0.36
NA,79.57,0.22,0.47,0.44,0.17,2.35,NA
26.81,90.57,0.17,0.31,0.26,0.11,1.97,NA
32.32,99.16,0.2,0.45,0.48,0.16,2.22,0.37
25.39,80.88,0.13,0.2,0.19,0.08,1.35,0.83
29.36,86,NA,NA,0.35,0.06,1.69,0.49
27.39,91.53,0.16,0.31,0.31,0.1,1.44,NA
27.1,81.86,0.16,NA,0.31,0.1,1.51,0.11
28.83,89.92,0.16,0.35,0.35,0.1,1.45,0.25
NA,83.08,0.12,0.16,0.19,0.1,1.45,0.26
34.11,87.64,0.16,0.34,0.36,0.09,1.56,1
32.98,88.04,0.17,NA,0.31,0.09,1.46,0.91
21.62,88.8,0.17,NA,0.18,0.04,1.36,0.01
28.09,85.73,0.19,0.3,NA,0.09,1.74,NA
28.95,82.39,0.14,0.23,0.24,0.13,NA,0.85
39.45,88.76,0.2,NA,0.33,0.15,2.22,1.3
27.13,83.27,0.12,0.24,0.23,0.07,1.75,0.44
25.57,82.75,0.15,0.19,0.22,0.13,NA,0.67
26.34,83.31,0.13,NA,NA,0.1,1.38,0.89
41.37,91.46,0.15,0.33,0.35,0.11,2.08,NA
27.52,85.02,0.14,0.23,NA,0.1,1.57,0.69
20.28,78.82,NA,NA,0.13,0.07,1.43,NA
36.72,87.75,0.18,0.32,0.35,0.1,2,0.88
NA,82.61,0.13,NA,0.27,0.08,1.74,1.1
28.57,83.26,0.19,NA,0.23,0.11,1.82,0.17
27.08,84.71,0.2,0.33,NA,0.1,1.69,0.48
NA,82.6,0.17,0.24,0.25,0.16,1.82,1.54
33.15,78.73,0.19,0.37,NA,0.09,1.96,0.96
25.92,77.72,0.15,NA,0.21,0.09,1.5,NA
30.67,85.21,0.2,0.3,0.34,0.11,2.09,0.39
20.66,82.26,0.12,NA,0.16,0.08,1.31,0.32
NA,85.73,0.13,0.21,NA,0.11,1.63,NA
24.81,80.98,0.11,0.15,0.15,0.06,NA,1.1
19.99,74.02,0.13,NA,0.16,0.09,1.25,0.42
25.55,83.81,0.16,NA,0.28,NA,1.44,0.51
22.03,78.63,0.11,0.15,0.16,0.08,1.25,0.84
35.63,89.69,0.24,NA,0.34,0.17,3.57,NA
35.74,89.93,NA,0.46,0.45,0.1,2.4,0.64
33.64,87.45,0.18,0.34,0.33,0.12,2.47,0.58
38.76,91.61,0.2,NA,0.43,0.15,2.49,1.18
37.81,89.6,0.17,0.39,0.39,0.11,2.33,0.68
35.46,87.79,0.19,0.38,0.37,NA,2.31,0.85
33.64,84.06,0.18,0.31,0.34,0.09,1.87,NA
35.67,90.43,0.2,NA,0.35,0.12,2.11,1.05
31.89,97.42,0.21,0.32,0.34,NA,1.89,0.66
33.4,93.81,0.17,0.37,0.37,0.07,1.98,NA
NA,NA,0.22,0.29,0.32,0.08,1.77,0.5
32.18,94.89,0.2,0.34,0.34,0.09,2.03,0.66
34.09,93.13,0.2,NA,0.38,0.13,1.95,0.71
33.38,94.19,0.2,0.31,0.32,0.11,2.98,0.15
36.96,101.72,0.19,0.33,0.35,0.11,1.95,1.13
32.48,92.73,0.2,0.35,0.36,0.11,1.68,NA
